movie_img,movie_name,movie_name_e,movie_content,movie_director,movie_actor,movie_cate,movie_age,movie_date
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81791/81791_185.jpg,더 보이,Brightburn,,데이비드 야로베스키,"잭슨 A. 던,엘리자베스 뱅크스,데이비드 덴맨", / 기본 : ,"미정, 0분, 미국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81773/81773_185.jpg,이다혜의 북클럽(번외편)-교토의 밤 산책자,CGV ARTHOUSE Class,,,,,"전체, 90분, 한국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81770/81770_185.jpg,스트롱거,Stronger,,데이빗 고든 그린,"제이크 질렌할,타티아나 마슬라니,클랜시 브라운", / 기본 : ,"15세 이상, 119분, 미국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81774/81774_185.jpg,기생충,PARASITE,,봉준호,"송강호,이선균,조여정,최우식,박소담,장혜진",장르 : 드라마,"15세 이상, 131분, 한국",개봉 : 
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81749/81749_185.jpg,어벤져스: 엔드게임,Avengers: Endgame,,"안소니 루소,조 루소",,개봉 : ,"12세 이상, 181분, 미국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81775/81775_185.jpg,논-픽션,Non-Fiction,,올리비에 아사야스,"줄리엣 비노쉬,기욤 까네,빈센트 맥케인", / 기본 : ,"15세 이상, 108분, 프랑스",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81776/81776_185.jpg,로지,ROGIE,,패디 브레스내치,"사라 그린,모 던포드", / 기본 : ,"미정, 0분, 아일랜드",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81777/81777_185.jpg,[CGV X 사이다경제]나는 집을 살 수 있을까,CGV X cidermics,,,,,"전체, 120분, ",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81778/81778_185.jpg,벤 이즈 백,Ben is back,,피터 헤지스,"줄리아 로버츠,루카스 헤지스,캐서린 뉴튼", / 기본 : ,"15세 이상, 103분, 미국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81779/81779_185.jpg,돈키호테를 죽인 사나이,The Man Who Killed Don Quixote,,테리 길리엄,"아담 드라이버,조나단 프라이스,올가 쿠릴렌코,스텔란 스카스가드", / 기본 : ,"12세 이상, 133분, 미국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81780/81780_185.jpg,언더 더 씨2,,,에반 트라멜,"오은수,방지원,송영인,조연우,신정훈,박상우", / 기본 : ,"전체, 0분, 미국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81783/81783_185.jpg,미드 90,Mid90s,,조나 힐,"써니 설직,캐서린 워터스턴,루카스 헤지스,제로드 카마이클", / 기본 : ,"미정, 0분, 미국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81784/81784_185.jpg,해피타임 스파이,The Happytime Murders,,브라이언 헨슨,"멜리사 맥카시,엘리자베스 뱅크스,마야 루돌프,빌 바레타", / 기본 : ,"청소년 관람불가, 91분, 미국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81782/81782_185.jpg,더 캡틴,The Captain,,로베르트 슈벤트케,"맥스 후바쳐,밀란 페쉘", / 기본 : ,"15세 이상, 119분, 독일, 캐나다",
